# handle	wav_path	name	offset	size
# source	/home/scotty/xp-jnbg-original/omt/voiceneighborhood.omt
53	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0035_jimmysheen1.wav	jimmysheen1	1484180	53644
54	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0089_jimmysheen5.wav	jimmysheen5	4330500	72682
55	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0092_jimmysheen4.wav	jimmysheen4	4537700	50430
56	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0091_jimmysheen2.wav	jimmysheen2	4451774	80326
57	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0093_jimmysheen3.wav	jimmysheen3	4588130	41774
58	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0090_jimmysheen6.wav	jimmysheen6	4403182	48592
59	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0062_jimmylibby1.wav	jimmylibby1	2649228	56364
60	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0038_jimmylibby6W.wav	jimmylibby6W	1580832	25754
61	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0094_jimmylibby8w.wav	jimmylibby8w	4629904	84120
62	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0050_jimmylibby10W.wav	jimmylibby10W	2114508	37634
63	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0098_jimmycarl12.wav	jimmycarl12	5018562	106764
64	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0077_jimmycarl11.wav	jimmycarl11	3542284	76666
65	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0047_jimmycarl10.wav	jimmycarl10	1983774	85132
66	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0019_jimmycarl9.wav	jimmycarl9	874366	57000
67	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0082_jimmylibby12.wav	jimmylibby12	3918018	69702
68	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0033_jimmylibby11.wav	jimmylibby11	1442634	15524
69	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0067_jimmylibby10.wav	jimmylibby10	2945650	25642
70	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0026_jimmylibby9.wav	jimmylibby9	1146802	24042
71	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0037_jimmylibby8.wav	jimmylibby8	1566388	14444
72	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0079_jimmylibby6.wav	jimmylibby6	3685362	89526
73	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0049_jimmylibby7.wav	jimmylibby7	2091830	22678
74	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0048_jimmylibby5.wav	jimmylibby5	2068906	22924
75	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0063_jimmylibby4.wav	jimmylibby4	2705592	108138
76	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0032_jimmylibby3.wav	jimmylibby3	1395378	47256
77	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0051_jimmylibby2.wav	jimmylibby2	2152588	58586
78	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0112_phone_ring.wav	phone ring	5918200	52140
79	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0066_jimmyvox1.wav	jimmyvox1	2915636	30014
80	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0024_jimmyvox3.wav	jimmyvox3	1076208	58790
81	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0068_jimmyvox2.wav	jimmyvox2	2971292	42816
82	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0108_jimmyvox4.wav	jimmyvox4	5674384	101300
83	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0109_jimmyvox4b.wav	jimmyvox4b	5775684	60252
84	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0065_jimmymom17.wav	jimmymom17	2841300	74336
85	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0040_jimmycarl14b.wav	jimmycarl14b	1656740	83128
86	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0097_jimmycarl1b.wav	jimmycarl1b	4903554	111482
87	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0088_jimmycarl13b.wav	jimmycarl13b	4234668	95832
88	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0020_carlinhaler.wav	carlinhaler	931366	30562
89	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0100_jimmyshrink1.wav	jimmyshrink1	5240314	92488
90	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0099_jimmyshrink2.wav	jimmyshrink2	5125326	114988
91	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0074_jimmyshrink4.wav	jimmyshrink4	3350476	35052
92	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0102_shrink_humphrey.wav	shrink humphrey	5375534	42722
93	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0104_hump_bark1.wav	hump bark1	5479080	50490
94	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0105_hump_bark3.wav	hump bark3	5529570	43194
95	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0106_hump_bark4.wav	hump bark4	5586588	43578
96	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0107_hump_bark2.wav	hump bark2	5630166	44218
97	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0069_Hump_growl2.wav	Hump growl2	3014108	62906
98	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0103_typing.wav	typing	5418256	49530
99	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0101_vox_recharge2.wav	vox recharge2	5332802	36652
100	assets/parsed/voiceneighborhood/voiceneighborhood_audio/0111_vox_recharge.wav	vox recharge	5872588	45612
