# handle	wav_path	name	offset	size
# source	/home/scotty/xp-jnbg-original/omt/loadsfx.omt
62	assets/parsed/loadsfx/loadsfx_audio/0119_jimmypie4.wav	jimmypie4	3676104	307568
63	assets/parsed/loadsfx/loadsfx_audio/0054_jimmycreature6.wav	jimmycreature6	1160328	30192
64	assets/parsed/loadsfx/loadsfx_audio/0093_jimmycreature5.wav	jimmycreature5	2604518	35894
65	assets/parsed/loadsfx/loadsfx_audio/0049_jimmycreature4.wav	jimmycreature4	1011168	33414
66	assets/parsed/loadsfx/loadsfx_audio/0076_jimmycreature3.wav	jimmycreature3	1860612	36446
67	assets/parsed/loadsfx/loadsfx_audio/0022_jimmycreature2.wav	jimmycreature2	246146	35986
68	assets/parsed/loadsfx/loadsfx_audio/0094_jimmycreature1.wav	jimmycreature1	2654790	65056
69	assets/parsed/loadsfx/loadsfx_audio/0064_jimmyexp14.wav	jimmyexp14	1490146	44936
70	assets/parsed/loadsfx/loadsfx_audio/0109_jimmyexp13.wav	jimmyexp13	2803124	45376
71	assets/parsed/loadsfx/loadsfx_audio/0087_way_2_go_goddard.wav	way 2 go goddard	2356668	19670
72	assets/parsed/loadsfx/loadsfx_audio/0128_growl_bark_growl.wav	growl bark growl	4944306	35054
73	assets/parsed/loadsfx/loadsfx_audio/0002_jimmyexp10.wav	jimmyexp10	38548	22750
74	assets/parsed/loadsfx/loadsfx_audio/0001_jimmyexp9.wav	jimmyexp9	1000	37548
75	assets/parsed/loadsfx/loadsfx_audio/0088_jimmyexp8.wav	jimmyexp8	2379418	38468
76	assets/parsed/loadsfx/loadsfx_audio/0113_jimmyexp7.wav	jimmyexp7	3089470	56034
77	assets/parsed/loadsfx/loadsfx_audio/0050_jimmyexp6.wav	jimmyexp6	1044582	19950
78	assets/parsed/loadsfx/loadsfx_audio/0025_jimmyexp5.wav	jimmyexp5	328148	21544
79	assets/parsed/loadsfx/loadsfx_audio/0021_look_goddard.wav	look goddard	234574	10758
80	assets/parsed/loadsfx/loadsfx_audio/0071_jimmyexp3.wav	jimmyexp3	1673778	66250
81	assets/parsed/loadsfx/loadsfx_audio/0130_goddard_chasing_pussy2.wav	goddard chasing pussy2	5021414	145850
82	assets/parsed/loadsfx/loadsfx_audio/0131_Oh_no_goddard.wav	Oh no goddard	5167264	49422
83	assets/parsed/loadsfx/loadsfx_audio/0007_empty.wav	empty	66936	992
84	assets/parsed/loadsfx/loadsfx_audio/0006_empty.wav	empty	65944	992
85	assets/parsed/loadsfx/loadsfx_audio/0111_jimmypie3.wav	jimmypie3	2882400	179532
86	assets/parsed/loadsfx/loadsfx_audio/0004_empty.wav	empty	63960	992
87	assets/parsed/loadsfx/loadsfx_audio/0003_empty.wav	empty	62968	992
88	assets/parsed/loadsfx/loadsfx_audio/0070_jimmycat3.wav	jimmycat3	1651316	20624
89	assets/parsed/loadsfx/loadsfx_audio/0067_jimmycat2.wav	jimmycat2	1574660	37180
90	assets/parsed/loadsfx/loadsfx_audio/0079_jimmycat1.wav	jimmycat1	1996642	38120
91	assets/parsed/loadsfx/loadsfx_audio/0073_jimmyrocket8.wav	jimmyrocket8	1741518	28728
92	assets/parsed/loadsfx/loadsfx_audio/0081_jimmyrocket7.wav	jimmyrocket7	2055386	35342
93	assets/parsed/loadsfx/loadsfx_audio/0084_jimmyrocket6.wav	jimmyrocket6	2215344	28236
94	assets/parsed/loadsfx/loadsfx_audio/0063_jimmyrocket5.wav	jimmyrocket5	1457186	28728
95	assets/parsed/loadsfx/loadsfx_audio/0000_empty.wav	empty	8	992
96	assets/parsed/loadsfx/loadsfx_audio/0115_jimmyrocket4.wav	jimmyrocket4	3182280	62024
97	assets/parsed/loadsfx/loadsfx_audio/0053_jimmyrocket2.wav	jimmyrocket2	1131876	28452
98	assets/parsed/loadsfx/loadsfx_audio/0052_jimmyrocket1.wav	jimmyrocket1	1093358	38518
99	assets/parsed/loadsfx/loadsfx_audio/0069_jimmyyodle.wav	jimmyyodle	1613768	37548
100	assets/parsed/loadsfx/loadsfx_audio/0122_rocket2.wav	rocket2	4078644	518266
101	assets/parsed/loadsfx/loadsfx_audio/0116_rocket1.wav	rocket1	3250020	180090
102	assets/parsed/loadsfx/loadsfx_audio/0066_jimmyrocket1a.wav	jimmyrocket1a	1536074	26452
